case_id,target_route,modality,primary_failure_stage,secondary_failure_tags,qwen_validation_error,dispatch_error
ready_predict_direction_from_image_v12_001,predict_direction_from_image_v12,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['current_beam_state', 'target_beam_state'] is expected to be empty",
ready_predict_direction_from_image_v12_002,predict_direction_from_image_v12,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_predict_direction_from_image_v12_003,predict_direction_from_image_v12,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_predict_direction_from_image_v12_004,predict_direction_from_image_v12,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['current_beam_state'] is expected to be empty,
ready_predict_direction_from_image_v12_005,predict_direction_from_image_v12,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['current_beam_state', 'target_beam_state'] is expected to be empty",
ready_predict_direction_from_image_v12_006,predict_direction_from_image_v12,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['image_calibration'] is expected to be empty,
ready_predict_direction_from_image_v12_007,predict_direction_from_image_v12,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_predict_direction_from_image_v12_008,predict_direction_from_image_v12,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['current_beam_state', 'target_beam_state'] is expected to be empty",
ready_predict_direction_from_image_v12_009,predict_direction_from_image_v12,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['current_beam_state', 'target_beam_state'] is expected to be empty",
ready_predict_forward_from_state_v12_002,predict_forward_from_state_v12,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_predict_forward_from_state_v12_003,predict_forward_from_state_v12,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_predict_forward_from_state_v12_005,predict_forward_from_state_v12,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_predict_forward_from_state_v12_006,predict_forward_from_state_v12,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['setup_context.image_calibration'] is expected to be empty,
ready_predict_forward_from_state_v12_007,predict_forward_from_state_v12,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['arguments.image_calibration'] is expected to be empty,
ready_predict_forward_from_image_v12_000,predict_forward_from_image_v12,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['current_beam_state', 'target_beam_state'] is expected to be empty",
ready_predict_forward_from_image_v12_001,predict_forward_from_image_v12,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_predict_forward_from_image_v12_002,predict_forward_from_image_v12,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['current_beam_state', 'target_beam_state'] is expected to be empty",
ready_predict_forward_from_image_v12_003,predict_forward_from_image_v12,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['current_beam_state', 'target_beam_state'] is expected to be empty",
ready_predict_forward_from_image_v12_004,predict_forward_from_image_v12,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['current_beam_state', 'target_beam_state'] is expected to be empty",
ready_predict_forward_from_image_v12_005,predict_forward_from_image_v12,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['current_beam_state'] is expected to be empty,
ready_predict_forward_from_image_v12_006,predict_forward_from_image_v12,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_predict_forward_from_image_v12_007,predict_forward_from_image_v12,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_predict_forward_from_image_v12_008,predict_forward_from_image_v12,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['current_beam_state', 'target_beam_state'] is expected to be empty",
ready_predict_forward_from_image_v12_009,predict_forward_from_image_v12,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['setup_context.image_calibration'] is expected to be empty,
ready_inverse_control_from_states_v12_h1_000,inverse_control_from_states_v12_h1,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_inverse_control_from_states_v12_h1_001,inverse_control_from_states_v12_h1,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_inverse_control_from_states_v12_h1_002,inverse_control_from_states_v12_h1,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_inverse_control_from_states_v12_h1_003,inverse_control_from_states_v12_h1,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_inverse_control_from_states_v12_h1_004,inverse_control_from_states_v12_h1,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_inverse_control_from_states_v12_h1_005,inverse_control_from_states_v12_h1,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_inverse_control_from_states_v12_h1_006,inverse_control_from_states_v12_h1,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_inverse_control_from_states_v12_h1_007,inverse_control_from_states_v12_h1,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_inverse_control_from_states_v12_h1_008,inverse_control_from_states_v12_h1,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_inverse_control_from_states_v12_h1_009,inverse_control_from_states_v12_h1,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_inverse_control_from_images_v12_h1_000,inverse_control_from_images_v12_h1,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['setup_context.image_calibration', 'current_beam_state', 'target_beam_state'] is expected to be empty",
ready_inverse_control_from_images_v12_h1_001,inverse_control_from_images_v12_h1,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['setup_context.image_calibration'] is expected to be empty,
ready_inverse_control_from_images_v12_h1_002,inverse_control_from_images_v12_h1,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['setup_context.image_calibration', 'current_beam_state', 'target_beam_state'] is expected to be empty",
ready_inverse_control_from_images_v12_h1_003,inverse_control_from_images_v12_h1,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['current_beam_state', 'target_beam_state'] is expected to be empty",
ready_inverse_control_from_images_v12_h1_004,inverse_control_from_images_v12_h1,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['setup_context.image_calibration', 'current_beam_state', 'target_beam_state'] is expected to be empty",
ready_inverse_control_from_images_v12_h1_005,inverse_control_from_images_v12_h1,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['image_calibration'] is expected to be empty,
ready_inverse_control_from_images_v12_h1_006,inverse_control_from_images_v12_h1,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['image_calibration'] is expected to be empty,
ready_inverse_control_from_images_v12_h1_007,inverse_control_from_images_v12_h1,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['setup_context', 'arguments'] is expected to be empty",
ready_inverse_control_from_images_v12_h1_008,inverse_control_from_images_v12_h1,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['setup_context.image_calibration', 'current_beam_state', 'target_beam_state'] is expected to be empty",
ready_inverse_control_from_images_v12_h1_009,inverse_control_from_images_v12_h1,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['arguments.current_beam_state', 'arguments.target_beam_state'] is expected to be empty",
clarification_000,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['route_name'] is expected to be empty,
clarification_001,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at reason: None is not of type 'string',
clarification_002,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['actuator_position'] is expected to be empty,
clarification_003,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
clarification_004,,text,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['setup_context.wavelength_nm', 'setup_context.beam_waist_mm', 'setup_context.power_w', 'setup_context.lens_focal_length_mm', 'setup_context.lens_aperture_mm', 'setup_context.source_to_lens_mm', 'setup_context.lens_to_camera_mm'] is expected to be empty",
clarification_005,,text,wrong status,[],,
clarification_006,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at reason: None is not of type 'string',
clarification_007,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['arguments'] is expected to be empty,
clarification_008,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at reason: None is not of type 'string',
clarification_009,,text,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['setup_context.actuator_position.values', 'setup_context.continuous_action.values', 'setup_context.image_calibration'] is expected to be empty",
clarification_010,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['route_name'] is expected to be empty,
clarification_011,,text,wrong status,[],,
clarification_012,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['arguments.inverse_target'] is expected to be empty,
clarification_013,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: [] should be non-empty,
clarification_014,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['route_name'] is expected to be empty,
clarification_015,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['route_name'] is expected to be empty,
clarification_016,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at route_name: 'inverse_control_from_states_v12_h1' is not of type 'null',
clarification_017,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
clarification_018,,text,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['setup_context.wavelength_nm', 'setup_context.beam_waist_mm', 'setup_context.power_w', 'setup_context.lens_focal_length_mm', 'setup_context.lens_aperture_mm', 'setup_context.source_to_lens_mm', 'setup_context.lens_to_camera_mm'] is expected to be empty",
clarification_019,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['setup_context.wavelength_nm'] is expected to be empty,
unsupported_000,,text,missing/wrong argument,[],,
unsupported_001,,text,missing/wrong argument,[],,
unsupported_002,,text,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['setup_context.actuator_position.values', 'setup_context.image_calibration'] is expected to be empty",
unsupported_003,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['setup_context.weight_path'] is expected to be empty,
unsupported_004,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['setup_context.wavelength_nm'] is expected to be empty,
unsupported_005,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['setup_context.image_calibration'] is expected to be empty,
unsupported_006,,text,missing/wrong argument,[],,
unsupported_007,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at route_name: 'inverse_control_from_images_v12_h1' is not of type 'null',
unsupported_008,,text,missing/wrong argument,[],,
unsupported_009,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['beam_state.contract_field_names'] is expected to be empty,
unsupported_010,,text,missing/wrong argument,[],,
unsupported_011,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at route_name: 'inverse_control_from_images_v12_h1' is not of type 'null',
unsupported_012,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
unsupported_013,,text,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['setup_context.checkpoint'] is expected to be empty,
unsupported_014,,text,missing/wrong argument,[],,
